AWAY,HOME,HOME_TEAM_RESULT,W%,BABIP,ERA,K%,K%,AVG,SLG,P_Index,B_index,W%,BABIP,ERA,K%,K%,AVG,SLG,P_Index,B_index
Giants,Marlins,L,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1
Braves,Brewers,L,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9
Astros,Twins,W,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9
Reds,Cardinals,W,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7
Rangers,Rockies,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8
Orioles,Athletics,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
Tigers,Mariners,W,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6
Phillies,Dodgers,W,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3
Rangers,Rockies,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8
Indians,Nationals,L,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8
Padres,Pirates,W,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47
Rays,BlueJays,L,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7
Yankees,RedSox,W,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6
Giants,Marlins,W,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1
Angels,Cubs,W,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
Braves,Brewers,L,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9
Astros,Twins,L,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9
WhiteSox,Royals,L,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3
Reds,Cardinals,L,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7
Orioles,Athletics,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
Tigers,Mariners,W,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6
Phillies,Dodgers,W,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3
Giants,Marlins,L,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1
Phillies,Dodgers,L,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3
Indians,Nationals,W,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8
Padres,Pirates,L,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47
Rays,BlueJays,W,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7
Yankees,RedSox,L,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6
Reds,Cardinals,W,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7
Rockies,Rangers,W,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2
Angels,Cubs,W,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
Braves,Brewers,W,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9
WhiteSox,Royals,W,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3
Orioles,Athletics,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
Tigers,Mariners,W,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6
Padres,Pirates,W,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47
Astros,Twins,L,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9
Astros,Twins,L,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9
Rockies,Rangers,L,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2
Braves,Brewers,W,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9
Orioles,Athletics,L,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
Angels,Indians,W,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4
Yankees,RedSox,L,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6
Cardinals,Cubs,W,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
WhiteSox,Royals,W,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3
Cardinals,Cubs,W,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
Braves,Nationals,L,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8
Rockies,Phillies,W,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
Rays,Yankees,W,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8
Astros,BlueJays,L,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7
WhiteSox,Marlins,L,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1
Angels,Indians,W,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4
Padres,Mets,L,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9
Tigers,Rangers,W,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2
Reds,Brewers,L,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9
Royals,Twins,L,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9
Mariners,Athletics,W,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
Pirates,Dodgers,L,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3
Orioles,Giants,L,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5
Rays,Yankees,W,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8
Astros,BlueJays,W,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7
Cardinals,Cubs,L,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
Pirates,Dodgers,W,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3
Braves,Nationals,W,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8
Rockies,Phillies,W,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
WhiteSox,Marlins,L,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1
Reds,Brewers,L,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9
Royals,Twins,W,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9
Angels,Indians,W,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4
Padres,Mets,W,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9
Tigers,Rangers,L,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2
Orioles,Giants,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5
Mariners,Athletics,L,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
Rays,Yankees,L,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8
Astros,BlueJays,W,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7
WhiteSox,Marlins,W,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1
Angels,Indians,W,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4
Padres,Mets,W,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9
Braves,Nationals,W,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8
Rockies,Phillies,W,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
Reds,Brewers,W,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9
Royals,Twins,L,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9
Tigers,Rangers,L,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2
Orioles,Giants,L,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5
Mariners,Athletics,L,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
Pirates,Dodgers,L,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3
Cardinals,Cubs,L,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
RedSox,Indians,L,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4
BlueJays,Yankees,W,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8
Royals,Tigers,L,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48
Marlins,Reds,L,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7
Padres,Rays,W,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8
Athletics,Rangers,W,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2
Nationals,Rockies,L,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8
Mariners,Angels,L,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4
Pirates,Giants,L,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5
Brewers,Cubs,W,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
Brewers,Cubs,W,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
RedSox,Orioles,L,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3
Dodgers,Phillies,L,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
BlueJays,Yankees,L,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8
WhiteSox,Indians,W,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4
Royals,Tigers,L,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48
Marlins,Reds,W,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7
Twins,Braves,L,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5
Padres,Rays,W,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8
Athletics,Rangers,W,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2
Cardinals,Astros,L,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1
Nationals,Rockies,W,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8
Mariners,Angels,W,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4
Pirates,Giants,L,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5
BlueJays,Yankees,L,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8
Padres,Rays,W,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8
Cardinals,Astros,L,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1
Nationals,Rockies,W,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8
Pirates,Giants,L,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5
RedSox,Orioles,L,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3
Dodgers,Phillies,L,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
WhiteSox,Indians,L,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4
Royals,Tigers,L,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48
Marlins,Reds,W,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7
Twins,Braves,L,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5
Brewers,Cubs,W,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
Athletics,Rangers,W,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2
Mariners,Angels,L,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4
RedSox,Tigers,W,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48
Brewers,Cubs,W,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
Astros,Orioles,W,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3
Dodgers,Phillies,W,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
WhiteSox,Indians,W,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4
Marlins,Reds,W,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7
Nationals,Braves,L,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5
Twins,Royals,W,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3
Mariners,Angels,W,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4
Mets,Giants,W,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5
Astros,Orioles,L,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3
Marlins,Pirates,L,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47
Cardinals,Phillies,L,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
RedSox,Tigers,L,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48
Dodgers,Reds,W,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7
Rangers,Rays,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8
BlueJays,Indians,W,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4
Nationals,Braves,L,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5
Athletics,WhiteSox,L,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7
Twins,Royals,W,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3
Cubs,Rockies,W,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8
Yankees,Angels,L,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4
Brewers,Mariners,W,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6
Mets,Giants,W,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5
Mets,Giants,L,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5
Rangers,Rays,W,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8
Astros,Orioles,L,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3
Marlins,Pirates,L,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47
Cardinals,Phillies,W,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
RedSox,Tigers,L,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48
Dodgers,Reds,W,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7
Athletics,WhiteSox,W,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7
BlueJays,Indians,L,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4
Nationals,Braves,L,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5
Twins,Royals,W,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3
Cubs,Rockies,L,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8
Brewers,Mariners,W,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6
